customer_id,recency_days,frequency,monetary,cluster,segment_name
12549,210,6,1575.68,0,Champions
12553,20,2,916.47,2,Occasional / Low-value
12554,83,1,468.5,2,Occasional / Low-value
12555,317,1,129.23,1,Lost / Lapsed
12557,6,4,6725.18,0,Champions
12562,20,2,1185.18,2,Occasional / Low-value
12563,43,1,249.24,2,Occasional / Low-value
12567,2,7,4308.58,0,Champions
12568,279,1,70.0,1,Lost / Lapsed
12570,317,1,77.52,1,Lost / Lapsed
12573,16,4,556.87,2,Occasional / Low-value
12575,92,2,622.82,2,Occasional / Low-value
12576,27,3,826.89,2,Occasional / Low-value
12577,16,5,995.95,0,Champions
12578,20,2,1847.94,2,Occasional / Low-value
12580,211,1,637.2,1,Lost / Lapsed
12582,57,2,1469.04,2,Occasional / Low-value
12583,8,13,7166.06,0,Champions
12586,9,3,1865.73,0,Champions
12588,34,3,743.88,2,Occasional / Low-value
12589,56,6,4048.98,0,Champions
12591,25,2,899.3,2,Occasional / Low-value
12592,154,3,2145.06,2,Occasional / Low-value
12594,13,5,1751.89,0,Champions
12595,139,1,299.02,2,Occasional / Low-value
12598,98,3,1511.01,2,Occasional / Low-value
12599,16,6,1264.14,0,Champions
12600,6,12,2444.88,0,Champions
12601,39,1,104.2,2,Occasional / Low-value
12605,11,4,1232.95,0,Champions
12606,317,1,21.0,1,Lost / Lapsed
12608,39,1,415.79,2,Occasional / Low-value
12609,9,6,2309.01,0,Champions
12613,23,5,3490.69,0,Champions
12615,48,4,3449.79,0,Champions
12616,23,1,417.8,2,Occasional / Low-value
12619,195,1,140.14,1,Lost / Lapsed
12621,0,16,11086.14,0,Champions
12623,51,6,3442.74,0,Champions
12625,144,2,2481.06,2,Occasional / Low-value
12629,20,2,1558.22,2,Occasional / Low-value
12631,91,5,2841.07,0,Champions
12632,155,2,804.88,2,Occasional / Low-value
12633,17,3,3514.18,0,Champions
12634,170,2,490.0,1,Lost / Lapsed
12635,27,2,1241.23,2,Occasional / Low-value
12636,373,1,141.0,1,Lost / Lapsed
12637,13,4,2318.41,0,Champions
12638,274,1,249.8,1,Lost / Lapsed
12639,69,2,826.27,2,Occasional / Low-value
12643,20,6,5005.78,0,Champions
12644,65,3,1440.58,2,Occasional / Low-value
12645,44,4,1764.12,0,Champions
12647,2,27,14201.53,0,Champions
12648,72,3,793.95,2,Occasional / Low-value
12649,17,5,1671.14,0,Champions
12651,13,3,263.75,2,Occasional / Low-value
12652,69,1,97.05,2,Occasional / Low-value
12653,161,1,1950.98,2,Occasional / Low-value
12655,58,1,261.35,2,Occasional / Low-value
12656,60,3,2356.66,0,Champions
12661,71,1,162.0,2,Occasional / Low-value
12662,8,10,3138.24,0,Champions
12663,259,2,239.4,1,Lost / Lapsed
12664,149,2,1188.16,2,Occasional / Low-value
12665,52,2,250.6,2,Occasional / Low-value
12666,29,1,1248.42,2,Occasional / Low-value
12668,13,6,7637.53,0,Champions
12670,20,2,764.24,2,Occasional / Low-value
12671,241,1,2622.48,1,Lost / Lapsed
12672,230,1,211.15,1,Lost / Lapsed
12673,36,1,619.5,2,Occasional / Low-value
12675,188,2,958.5,1,Lost / Lapsed
12676,43,5,1511.7,0,Champions
12677,190,2,395.1,1,Lost / Lapsed
12678,10,9,16652.72,0,Champions
12681,2,24,17080.74,0,Champions
12682,0,23,11745.69,0,Champions
12683,0,8,4220.21,0,Champions
12686,6,1,89.14,2,Occasional / Low-value
12687,115,2,2138.91,2,Occasional / Low-value
12691,55,1,134.6,2,Occasional / Low-value
12692,272,1,110.95,1,Lost / Lapsed
12693,31,3,847.11,2,Occasional / Low-value
12694,56,1,973.68,2,Occasional / Low-value
12695,163,3,825.02,2,Occasional / Low-value
12696,69,2,851.91,2,Occasional / Low-value
12698,225,1,339.75,1,Lost / Lapsed
12699,52,1,638.11,2,Occasional / Low-value
12701,164,4,1648.7,0,Champions
12703,268,3,722.98,1,Lost / Lapsed
12705,18,5,4893.81,0,Champions
12708,3,9,2601.19,0,Champions
12709,1,20,21356.82,0,Champions
12711,246,2,1339.05,1,Lost / Lapsed
12712,0,10,2797.53,0,Champions
12714,23,7,9384.85,0,Champions
12717,225,1,277.93,1,Lost / Lapsed
12720,4,6,2478.94,0,Champions
12721,20,2,1356.95,2,Occasional / Low-value
12724,18,3,1286.11,2,Occasional / Low-value
12725,6,4,2266.76,0,Champions
12726,22,4,1405.5,0,Champions
12727,77,3,1698.83,2,Occasional / Low-value
12728,18,1,233.84,2,Occasional / Low-value
12730,156,1,829.25,2,Occasional / Low-value
12731,77,5,6879.8,0,Champions
12733,24,3,2040.92,0,Champions
12734,9,2,529.25,2,Occasional / Low-value
12737,133,2,3710.5,2,Occasional / Low-value
12738,7,1,155.35,2,Occasional / Low-value
12739,20,2,1713.69,2,Occasional / Low-value
12741,164,2,406.07,1,Lost / Lapsed
12742,260,1,1201.52,1,Lost / Lapsed
12744,94,4,4037.77,0,Champions
12745,121,3,925.41,2,Occasional / Low-value
12746,175,1,254.55,1,Lost / Lapsed
12747,4,16,5080.53,0,Champions
12748,0,144,22879.66,0,Champions
12749,34,4,2806.48,0,Champions
12751,79,1,268.27,2,Occasional / Low-value
12755,0,10,5218.71,0,Champions
12758,94,5,7111.65,0,Champions
12759,21,5,3489.3,0,Champions
12760,90,1,347.8,2,Occasional / Low-value
12761,92,2,782.95,2,Occasional / Low-value
12763,4,1,320.08,2,Occasional / Low-value
12765,107,6,1404.58,0,Champions
12766,1,3,3078.65,0,Champions
12767,10,1,949.82,2,Occasional / Low-value
12768,85,1,168.69,2,Occasional / Low-value
12770,91,1,1895.0,2,Occasional / Low-value
12771,120,1,282.3,2,Occasional / Low-value
12773,199,1,124.25,1,Lost / Lapsed
12774,170,1,98.7,1,Lost / Lapsed
12775,23,2,300.08,2,Occasional / Low-value
12776,302,1,55.5,1,Lost / Lapsed
12777,92,1,519.45,2,Occasional / Low-value
12778,31,3,953.45,2,Occasional / Low-value
12779,6,7,2740.91,0,Champions
12780,233,1,337.4,1,Lost / Lapsed
12782,9,6,2287.32,0,Champions
12784,164,1,1230.33,2,Occasional / Low-value
12785,170,2,788.45,1,Lost / Lapsed
12786,244,1,728.5,1,Lost / Lapsed
12787,48,1,398.52,2,Occasional / Low-value
12788,98,4,444.9,2,Occasional / Low-value
12789,147,2,181.5,1,Lost / Lapsed
12790,45,1,266.93,2,Occasional / Low-value
12791,8,6,863.51,0,Champions
12792,169,1,426.47,1,Lost / Lapsed
12793,6,2,471.85,2,Occasional / Low-value
12796,263,1,381.0,1,Lost / Lapsed
12797,0,2,552.08,2,Occasional / Low-value
12798,56,1,1533.89,2,Occasional / Low-value
12799,164,1,219.35,1,Lost / Lapsed
12800,105,3,584.25,2,Occasional / Low-value
12801,135,1,1071.82,2,Occasional / Low-value
12802,77,6,1988.84,0,Champions
12803,28,1,1092.81,2,Occasional / Low-value
12804,100,2,327.02,2,Occasional / Low-value
12805,16,4,1434.95,0,Champions
12806,70,4,2878.96,0,Champions
12807,18,1,330.35,2,Occasional / Low-value
12808,3,3,422.45,2,Occasional / Low-value
12809,200,2,1266.63,1,Lost / Lapsed
12810,169,2,534.99,1,Lost / Lapsed
12811,13,2,519.05,2,Occasional / Low-value
12813,136,3,1687.8,2,Occasional / Low-value
12817,34,2,524.94,2,Occasional / Low-value
12819,93,1,540.52,2,Occasional / Low-value
12820,32,7,1747.18,0,Champions
12821,246,1,128.08,1,Lost / Lapsed
12823,29,13,4742.0,0,Champions
12825,156,2,518.63,2,Occasional / Low-value
12826,0,6,1481.03,0,Champions
12829,185,1,92.3,1,Lost / Lapsed
12831,98,2,236.06,2,Occasional / Low-value
12835,62,41,6043.31,0,Champions
12836,24,11,3972.76,0,Champions
12837,204,1,554.31,1,Lost / Lapsed
12838,8,9,2715.35,0,Champions
12839,2,13,4480.31,0,Champions
12840,72,3,1315.2,2,Occasional / Low-value
12841,4,17,3518.33,0,Champions
12842,39,2,799.0,2,Occasional / Low-value
12843,17,22,4886.15,0,Champions
12844,77,2,322.64,2,Occasional / Low-value
12846,317,1,15.58,1,Lost / Lapsed
12847,22,1,765.36,2,Occasional / Low-value
12848,310,1,208.0,1,Lost / Lapsed
12849,16,4,2039.67,0,Champions
12850,80,1,330.0,2,Occasional / Low-value
12851,112,1,148.95,2,Occasional / Low-value
12853,62,5,1950.4,0,Champions
12854,196,4,1669.52,1,Lost / Lapsed
12855,7,4,612.84,2,Occasional / Low-value
12857,71,4,2581.6,0,Champions
12858,18,1,177.92,2,Occasional / Low-value
12859,93,1,575.1,2,Occasional / Low-value
12860,328,1,55.47,1,Lost / Lapsed
12861,254,1,68.25,1,Lost / Lapsed
12862,60,2,1008.32,2,Occasional / Low-value
12863,14,5,2271.35,0,Champions
12864,143,1,152.45,1,Lost / Lapsed
12865,13,2,1755.24,2,Occasional / Low-value
12866,109,2,668.23,2,Occasional / Low-value
12867,32,6,3876.47,0,Champions
12868,8,3,640.0,2,Occasional / Low-value
12869,316,1,337.67,1,Lost / Lapsed
12870,10,3,1676.95,2,Occasional / Low-value
12871,74,1,363.38,2,Occasional / Low-value
12872,0,11,3085.52,0,Champions
12873,32,2,1653.3,2,Occasional / Low-value
12874,20,2,948.42,2,Occasional / Low-value
12875,106,3,1013.76,2,Occasional / Low-value
12876,29,2,1863.77,2,Occasional / Low-value
12877,36,8,1419.4,0,Champions
12880,16,2,640.13,2,Occasional / Low-value
12887,18,1,222.4,2,Occasional / Low-value
12889,16,4,385.46,2,Occasional / Low-value
12890,22,1,336.8,2,Occasional / Low-value
12891,93,8,509.5,0,Champions
12892,31,1,263.38,2,Occasional / Low-value
12894,210,1,157.35,1,Lost / Lapsed
12897,16,2,297.75,2,Occasional / Low-value
12898,98,2,310.96,2,Occasional / Low-value
12899,48,1,366.4,2,Occasional / Low-value
12900,57,1,340.33,2,Occasional / Low-value
12903,63,1,833.53,2,Occasional / Low-value
12905,211,2,1018.42,1,Lost / Lapsed
12907,30,2,508.91,2,Occasional / Low-value
12908,15,3,1026.0,2,Occasional / Low-value
12909,59,3,924.52,2,Occasional / Low-value
12910,14,5,2721.48,0,Champions
12911,186,1,1680.47,1,Lost / Lapsed
12913,3,9,4217.23,0,Champions
12914,35,1,223.98,2,Occasional / Low-value
12915,7,3,811.1,2,Occasional / Low-value
12916,77,3,1647.87,2,Occasional / Low-value
12917,35,5,3765.2,0,Champions
12918,261,1,10953.5,1,Lost / Lapsed
12920,206,3,323.86,1,Lost / Lapsed
12921,1,39,19333.95,0,Champions
12923,25,2,612.9,2,Occasional / Low-value
12924,28,8,1535.7,0,Champions
12925,227,1,35.28,1,Lost / Lapsed
12926,46,4,1548.46,0,Champions
12927,29,1,197.31,2,Occasional / Low-value
12928,13,7,2242.19,0,Champions
12931,15,42,50291.38,0,Champions
12932,174,8,1698.56,0,Champions
12933,15,5,1079.5,0,Champions
12934,371,1,181.65,1,Lost / Lapsed
12935,10,8,2083.16,0,Champions
12937,98,5,1593.34,0,Champions
12939,14,12,13683.0,0,Champions
12941,359,1,377.49,1,Lost / Lapsed
12942,0,1,258.75,2,Occasional / Low-value
12943,193,2,496.5,1,Lost / Lapsed
12945,291,1,437.16,1,Lost / Lapsed
12946,71,1,324.45,2,Occasional / Low-value
12947,8,1,304.04,2,Occasional / Low-value
12948,365,2,252.48,1,Lost / Lapsed
12949,17,14,11359.48,0,Champions
12951,21,9,2149.65,0,Champions
12953,157,1,498.96,1,Lost / Lapsed
12954,273,1,162.45,1,Lost / Lapsed
12956,319,3,413.82,1,Lost / Lapsed
12957,176,5,4689.43,0,Champions
12958,35,2,539.49,2,Occasional / Low-value
12959,119,1,150.95,2,Occasional / Low-value
12960,48,4,1322.07,0,Champions
12961,14,1,211.99,2,Occasional / Low-value
12963,0,5,1744.96,0,Champions
12964,72,1,132.24,2,Occasional / Low-value
12967,6,2,2646.02,2,Occasional / Low-value
12969,237,1,122.45,1,Lost / Lapsed
12970,15,6,1072.73,0,Champions
12971,1,33,4782.88,0,Champions
12972,48,4,1161.2,2,Occasional / Low-value
12973,48,1,385.55,2,Occasional / Low-value
12974,200,1,264.15,1,Lost / Lapsed
12975,71,6,2100.09,0,Champions
12976,13,7,2417.78,0,Champions
12977,136,3,478.39,2,Occasional / Low-value
12978,20,5,2502.82,0,Champions
12979,364,1,517.7,1,Lost / Lapsed
12980,21,12,8870.88,0,Champions
12982,29,7,2354.27,0,Champions
12983,233,1,490.08,1,Lost / Lapsed
12986,63,10,2729.84,0,Champions
12987,55,3,753.51,2,Occasional / Low-value
12989,59,18,6627.64,0,Champions
12990,52,4,546.0,2,Occasional / Low-value
12991,24,1,261.06,2,Occasional / Low-value
12992,360,1,93.35,1,Lost / Lapsed
12993,80,4,844.87,2,Occasional / Low-value
12996,10,1,355.5,2,Occasional / Low-value
12997,29,4,884.02,2,Occasional / Low-value
12998,127,3,920.08,2,Occasional / Low-value
13000,360,1,497.65,1,Lost / Lapsed
13001,39,20,14353.28,0,Champions
13002,51,2,293.18,2,Occasional / Low-value
13004,21,18,5994.94,0,Champions
13005,66,2,485.98,2,Occasional / Low-value
13007,214,1,175.25,1,Lost / Lapsed
13008,32,2,382.66,2,Occasional / Low-value
13009,307,1,234.0,1,Lost / Lapsed
13010,9,2,330.12,2,Occasional / Low-value
13011,7,1,50.55,2,Occasional / Low-value
13012,64,3,1310.99,2,Occasional / Low-value
13013,6,18,7814.83,0,Champions
13014,67,1,1914.8,2,Occasional / Low-value
13015,73,6,3240.14,0,Champions
13018,48,7,2485.46,0,Champions
13019,14,6,1229.95,0,Champions
13020,197,2,618.96,1,Lost / Lapsed
13021,9,8,2270.86,0,Champions
13022,64,1,65.3,2,Occasional / Low-value
13023,163,1,759.13,1,Lost / Lapsed
13024,105,2,555.87,2,Occasional / Low-value
13025,366,1,323.39,1,Lost / Lapsed
13026,123,4,757.72,2,Occasional / Low-value
13027,20,13,10423.2,0,Champions
13029,9,2,679.8,2,Occasional / Low-value
13030,3,1,427.74,2,Occasional / Low-value
13031,42,5,3419.27,0,Champions
13032,27,7,1833.37,0,Champions
13033,64,1,30.0,2,Occasional / Low-value
13034,4,2,279.91,2,Occasional / Low-value
13035,66,1,442.32,2,Occasional / Low-value
13036,319,1,307.1,1,Lost / Lapsed
13037,34,9,3033.88,0,Champions
13039,219,4,1010.73,1,Lost / Lapsed
13041,85,4,799.13,2,Occasional / Low-value
13042,233,3,1556.54,1,Lost / Lapsed
13044,127,10,4293.43,0,Champions
13045,36,2,503.64,2,Occasional / Low-value
13046,91,1,319.94,2,Occasional / Low-value
13047,8,17,5557.62,0,Champions
13048,71,5,2248.3,0,Champions
13049,24,2,751.56,2,Occasional / Low-value
13050,1,19,6507.67,0,Champions
13051,213,2,155.8,1,Lost / Lapsed
13052,55,6,2820.38,0,Champions
13053,256,1,127.65,1,Lost / Lapsed
13055,64,1,1106.7,2,Occasional / Low-value
13056,186,1,209.48,1,Lost / Lapsed
13057,165,3,722.09,2,Occasional / Low-value
13059,48,9,2119.77,0,Champions
13063,115,1,188.4,2,Occasional / Low-value
13064,185,2,561.25,1,Lost / Lapsed
13065,8,5,1055.05,0,Champions
13067,44,2,393.05,2,Occasional / Low-value
13069,4,16,5247.01,0,Champions
13070,94,3,522.9,2,Occasional / Low-value
13071,247,1,129.22,1,Lost / Lapsed
13073,46,2,418.08,2,Occasional / Low-value
13074,146,4,1378.74,2,Occasional / Low-value
13076,92,1,135.4,2,Occasional / Low-value
13077,1,8,2335.4,0,Champions
13078,1,32,16904.51,0,Champions
13079,52,1,199.08,2,Occasional / Low-value
13080,36,3,222.65,2,Occasional / Low-value
13081,6,19,30867.77,0,Champions
13082,59,12,3722.12,0,Champions
13083,60,1,91.68,2,Occasional / Low-value
13084,126,1,122.4,2,Occasional / Low-value
13085,314,6,2017.2,1,Lost / Lapsed
13086,17,1,439.33,2,Occasional / Low-value
13087,361,1,313.64,1,Lost / Lapsed
13088,52,1,236.11,2,Occasional / Low-value
13089,3,109,57912.03,0,Champions
13090,0,13,5192.27,0,Champions
13091,364,2,1976.0,1,Lost / Lapsed
13092,49,7,1662.45,0,Champions
13093,8,48,47111.18,0,Champions
13094,3,2,505.8,2,Occasional / Low-value
13096,29,1,419.7,2,Occasional / Low-value
13097,23,18,7378.8,0,Champions
13101,133,3,594.21,2,Occasional / Low-value
13102,0,14,5272.83,0,Champions
13103,72,2,465.7,2,Occasional / Low-value
13104,50,3,610.62,2,Occasional / Low-value
13105,71,1,72.0,2,Occasional / Low-value
13106,48,1,526.96,2,Occasional / Low-value
13107,48,5,3721.45,0,Champions
13108,7,2,748.46,2,Occasional / Low-value
13109,186,1,347.49,1,Lost / Lapsed
13110,72,5,1468.8,0,Champions
13111,353,1,321.88,1,Lost / Lapsed
13112,176,1,20.6,1,Lost / Lapsed
13113,1,14,6379.77,0,Champions
13114,365,1,234.38,1,Lost / Lapsed
13115,14,6,3199.92,0,Champions
13117,0,12,1658.9,0,Champions
13118,11,4,1217.6,0,Champions
13119,303,1,134.9,1,Lost / Lapsed
13123,107,2,506.75,2,Occasional / Low-value
13124,20,1,916.12,2,Occasional / Low-value
13125,158,1,158.57,1,Lost / Lapsed
13126,1,7,1898.61,0,Champions
13128,266,1,263.5,1,Lost / Lapsed
13129,87,2,233.25,2,Occasional / Low-value
13131,53,4,2240.47,0,Champions
13133,94,1,90.65,2,Occasional / Low-value
13134,37,2,681.65,2,Occasional / Low-value
13135,126,1,275.45,2,Occasional / Low-value
13136,10,8,3666.95,0,Champions
13137,21,8,4062.29,0,Champions
13138,7,2,504.85,2,Occasional / Low-value
13139,72,1,3138.04,2,Occasional / Low-value
13140,1,3,791.96,2,Occasional / Low-value
13141,20,12,5279.83,0,Champions
13143,219,1,405.1,1,Lost / Lapsed
13144,66,1,24.4,2,Occasional / Low-value
13145,7,4,805.0,2,Occasional / Low-value
13148,24,14,4914.69,0,Champions
13150,119,3,449.97,2,Occasional / Low-value
13151,260,2,1322.87,1,Lost / Lapsed
13152,52,7,2146.38,0,Champions
13154,34,3,1624.84,2,Occasional / Low-value
13155,3,3,778.42,2,Occasional / Low-value
13156,20,3,1586.54,2,Occasional / Low-value
13157,44,5,3946.14,0,Champions
13158,23,1,307.12,2,Occasional / Low-value
13161,135,1,366.13,2,Occasional / Low-value
13162,15,12,7587.2,0,Champions
13163,245,1,17.65,1,Lost / Lapsed
13164,204,2,372.2,1,Lost / Lapsed
13165,48,1,429.68,2,Occasional / Low-value
13166,49,1,466.98,2,Occasional / Low-value
13167,25,1,333.82,2,Occasional / Low-value
13168,177,1,556.12,1,Lost / Lapsed
13169,197,1,127.2,1,Lost / Lapsed
13172,35,1,69.6,2,Occasional / Low-value
13173,2,10,2285.7,0,Champions
13174,4,10,6677.81,0,Champions
13175,217,2,831.45,1,Lost / Lapsed
13177,65,1,229.75,2,Occasional / Low-value
13178,32,10,8333.72,0,Champions
13179,253,1,572.31,1,Lost / Lapsed
13180,242,1,86.1,1,Lost / Lapsed
13181,16,1,359.69,2,Occasional / Low-value
13183,29,6,3078.4,0,Champions
13187,259,3,130.99,1,Lost / Lapsed
13190,179,3,570.66,1,Lost / Lapsed
13191,293,1,164.69,1,Lost / Lapsed
13192,170,4,1646.64,0,Champions
13194,56,1,412.08,2,Occasional / Low-value
13195,49,1,172.38,2,Occasional / Low-value
13196,78,3,1271.06,2,Occasional / Low-value
13197,244,1,373.01,1,Lost / Lapsed
13198,22,2,1572.99,2,Occasional / Low-value
13199,1,30,6615.77,0,Champions
13201,137,4,1240.61,2,Occasional / Low-value
13202,29,7,1580.3,0,Champions
13203,21,6,1778.79,0,Champions
13204,366,1,966.66,1,Lost / Lapsed
13205,78,1,2803.2,2,Occasional / Low-value
13206,35,13,8377.32,0,Champions
13207,86,2,285.6,2,Occasional / Low-value
13208,84,3,764.6,2,Occasional / Low-value
13209,149,5,2617.9,0,Champions
13211,16,7,1531.9,0,Champions
13213,18,6,2330.94,0,Champions
13214,52,7,3264.23,0,Champions
13215,37,1,81.6,2,Occasional / Low-value
13217,290,1,132.5,1,Lost / Lapsed
13219,253,1,76.23,1,Lost / Lapsed
13220,210,1,516.8,1,Lost / Lapsed
13222,212,1,88.5,1,Lost / Lapsed
13223,58,4,805.92,2,Occasional / Low-value
13225,56,9,9796.23,0,Champions
13226,28,1,204.25,2,Occasional / Low-value
13230,0,17,3553.81,0,Champions
13233,55,2,571.34,2,Occasional / Low-value
13234,307,2,356.95,1,Lost / Lapsed
13237,22,1,643.0,2,Occasional / Low-value
13238,65,2,305.9,2,Occasional / Low-value
13239,72,4,1265.13,2,Occasional / Low-value
13240,0,5,1074.87,0,Champions
13241,46,1,115.58,2,Occasional / Low-value
13242,86,4,429.0,2,Occasional / Low-value
13243,84,4,677.97,2,Occasional / Low-value
13245,67,1,558.72,2,Occasional / Low-value
13246,28,5,1400.13,0,Champions
13249,36,6,897.52,0,Champions
13250,95,2,256.04,2,Occasional / Low-value
13251,37,1,252.68,2,Occasional / Low-value
13252,29,2,399.3,2,Occasional / Low-value
13253,65,2,1920.71,2,Occasional / Low-value
13254,11,1,51.41,2,Occasional / Low-value
13255,8,2,504.95,2,Occasional / Low-value
13257,71,1,149.75,2,Occasional / Low-value
13258,14,2,336.6,2,Occasional / Low-value
13259,32,8,1141.06,0,Champions
13262,24,2,373.16,2,Occasional / Low-value
13263,28,4,1250.62,0,Champions
13264,77,1,722.56,2,Occasional / Low-value
13266,48,7,2300.78,0,Champions
13267,1,18,5236.77,0,Champions
13269,4,14,3545.47,0,Champions
13270,1,1,590.0,2,Occasional / Low-value
13274,44,1,360.85,2,Occasional / Low-value
13275,18,2,241.66,2,Occasional / Low-value
13276,32,3,1348.33,2,Occasional / Low-value
13277,15,3,264.9,2,Occasional / Low-value
13278,34,3,893.12,2,Occasional / Low-value
13280,14,4,1507.77,0,Champions
13281,74,1,350.85,2,Occasional / Low-value
13282,41,1,181.05,2,Occasional / Low-value
13283,202,2,279.7,1,Lost / Lapsed
13285,235,2,655.47,1,Lost / Lapsed
13286,235,1,734.91,1,Lost / Lapsed
