customer_id,recency_days,frequency,monetary,cluster,segment_name,updated_at
12393,17,2,816.85,2,Occasional / Low-value,2026-07-30 19:54:39
12395,6,4,2048.64,0,Champions,2026-07-30 19:54:39
12396,309,1,931.43,1,Lost / Lapsed,2026-07-30 19:54:39
12399,20,3,853.65,2,Occasional / Low-value,2026-07-30 19:54:39
12400,49,1,205.25,2,Occasional / Low-value,2026-07-30 19:54:39
12402,27,5,1031.3,0,Champions,2026-07-30 19:54:39
12403,156,1,591.66,1,Lost / Lapsed,2026-07-30 19:54:39
12404,317,1,63.24,1,Lost / Lapsed,2026-07-30 19:54:39
12406,34,3,2975.06,0,Champions,2026-07-30 19:54:39
12408,20,3,1452.22,2,Occasional / Low-value,2026-07-30 19:54:39
12409,55,4,12346.62,0,Champions,2026-07-30 19:54:39
12410,137,1,320.38,2,Occasional / Low-value,2026-07-30 19:54:39
12411,44,1,346.9,2,Occasional / Low-value,2026-07-30 19:54:39
12412,37,3,1370.05,2,Occasional / Low-value,2026-07-30 19:54:39
12413,37,1,241.35,2,Occasional / Low-value,2026-07-30 19:54:39
12414,98,3,390.0,2,Occasional / Low-value,2026-07-30 19:54:39
12415,10,7,19543.84,0,Champions,2026-07-30 19:54:39
12416,291,1,202.56,1,Lost / Lapsed,2026-07-30 19:54:39
12417,45,11,3167.81,0,Champions,2026-07-30 19:54:39
12418,48,3,1352.62,2,Occasional / Low-value,2026-07-30 19:54:39
12419,20,2,503.01,2,Occasional / Low-value,2026-07-30 19:54:39
12421,50,2,291.56,2,Occasional / Low-value,2026-07-30 19:54:39
12422,29,14,4428.24,0,Champions,2026-07-30 19:54:39
12423,22,2,763.08,2,Occasional / Low-value,2026-07-30 19:54:39
12424,57,2,1579.07,2,Occasional / Low-value,2026-07-30 19:54:39
12425,83,1,964.21,2,Occasional / Low-value,2026-07-30 19:54:39
12426,297,1,762.48,1,Lost / Lapsed,2026-07-30 19:54:39
12427,6,1,303.5,2,Occasional / Low-value,2026-07-30 19:54:39
12429,0,5,3735.51,0,Champions,2026-07-30 19:54:39
12431,8,13,4370.52,0,Champions,2026-07-30 19:54:39
12433,1,5,7205.39,0,Champions,2026-07-30 19:54:39
12434,16,1,297.29,2,Occasional / Low-value,2026-07-30 19:54:39
12435,31,4,6096.04,0,Champions,2026-07-30 19:54:39
12437,30,21,7731.99,0,Champions,2026-07-30 19:54:39
12439,317,2,1158.18,1,Lost / Lapsed,2026-07-30 19:54:39
12440,97,2,859.2,2,Occasional / Low-value,2026-07-30 19:54:39
12441,1,1,173.55,2,Occasional / Low-value,2026-07-30 19:54:39
12443,367,1,485.31,1,Lost / Lapsed,2026-07-30 19:54:39
12445,55,1,301.58,2,Occasional / Low-value,2026-07-30 19:54:39
12449,45,2,768.6,2,Occasional / Low-value,2026-07-30 19:54:39
12450,34,3,490.32,2,Occasional / Low-value,2026-07-30 19:54:39
12451,98,3,3634.36,0,Champions,2026-07-30 19:54:39
12454,30,4,13151.44,0,Champions,2026-07-30 19:54:39
12455,80,4,3413.09,0,Champions,2026-07-30 19:54:39
12457,70,1,632.68,2,Occasional / Low-value,2026-07-30 19:54:39
12458,62,2,830.09,2,Occasional / Low-value,2026-07-30 19:54:39
12459,240,1,454.36,1,Lost / Lapsed,2026-07-30 19:54:39
12460,91,1,326.65,2,Occasional / Low-value,2026-07-30 19:54:39
12466,317,1,56.73,1,Lost / Lapsed,2026-07-30 19:54:39
12467,58,1,132.8,2,Occasional / Low-value,2026-07-30 19:54:39
12468,161,3,2941.2,0,Champions,2026-07-30 19:54:39
12469,157,2,3070.54,2,Occasional / Low-value,2026-07-30 19:54:39
12470,324,1,211.95,1,Lost / Lapsed,2026-07-30 19:54:39
12471,9,49,20139.74,0,Champions,2026-07-30 19:54:39
12472,4,13,11308.48,0,Champions,2026-07-30 19:54:39
12474,13,13,5048.66,0,Champions,2026-07-30 19:54:39
12475,44,1,426.26,2,Occasional / Low-value,2026-07-30 19:54:39
12476,31,12,7298.99,0,Champions,2026-07-30 19:54:39
12477,34,3,7056.63,0,Champions,2026-07-30 19:54:39
12480,34,3,2183.22,0,Champions,2026-07-30 19:54:39
12481,0,6,6765.07,0,Champions,2026-07-30 19:54:39
12482,211,29,23691.4,0,Champions,2026-07-30 19:54:39
12483,13,11,2635.6,0,Champions,2026-07-30 19:54:39
12484,118,6,1828.43,0,Champions,2026-07-30 19:54:39
12485,164,1,708.1,1,Lost / Lapsed,2026-07-30 19:54:39
12486,66,1,1037.28,2,Occasional / Low-value,2026-07-30 19:54:39
12487,365,1,285.3,1,Lost / Lapsed,2026-07-30 19:54:39
12490,13,11,4405.71,0,Champions,2026-07-30 19:54:39
12492,38,1,452.0,2,Occasional / Low-value,2026-07-30 19:54:39
12494,0,3,626.77,2,Occasional / Low-value,2026-07-30 19:54:39
12495,275,1,357.4,1,Lost / Lapsed,2026-07-30 19:54:39
12496,255,2,54.09,1,Lost / Lapsed,2026-07-30 19:54:39
12497,35,2,5205.4,0,Champions,2026-07-30 19:54:39
12499,195,1,393.72,1,Lost / Lapsed,2026-07-30 19:54:39
12500,70,8,1697.39,0,Champions,2026-07-30 19:54:39
12503,219,1,1126.0,1,Lost / Lapsed,2026-07-30 19:54:39
12504,52,2,297.0,2,Occasional / Low-value,2026-07-30 19:54:39
12505,43,1,955.2,2,Occasional / Low-value,2026-07-30 19:54:39
12507,219,1,539.25,1,Lost / Lapsed,2026-07-30 19:54:39
12510,94,7,4195.45,0,Champions,2026-07-30 19:54:39
12511,63,1,3084.02,2,Occasional / Low-value,2026-07-30 19:54:39
12514,276,1,580.08,1,Lost / Lapsed,2026-07-30 19:54:39
12516,65,2,1336.56,2,Occasional / Low-value,2026-07-30 19:54:39
12519,111,1,385.7,2,Occasional / Low-value,2026-07-30 19:54:39
12523,9,12,2582.38,0,Champions,2026-07-30 19:54:39
12524,23,9,6640.39,0,Champions,2026-07-30 19:54:39
12525,133,3,973.73,2,Occasional / Low-value,2026-07-30 19:54:39
12527,129,2,386.8,2,Occasional / Low-value,2026-07-30 19:54:39
12529,163,1,316.48,1,Lost / Lapsed,2026-07-30 19:54:39
12530,50,5,2096.98,0,Champions,2026-07-30 19:54:39
12531,321,1,1807.98,1,Lost / Lapsed,2026-07-30 19:54:39
12533,262,2,1367.89,1,Lost / Lapsed,2026-07-30 19:54:39
12537,43,1,732.94,2,Occasional / Low-value,2026-07-30 19:54:39
12538,13,1,276.5,2,Occasional / Low-value,2026-07-30 19:54:39
12539,85,3,5646.4,0,Champions,2026-07-30 19:54:39
12540,13,16,8854.25,0,Champions,2026-07-30 19:54:39
12542,119,2,481.88,2,Occasional / Low-value,2026-07-30 19:54:39
12543,83,1,980.25,2,Occasional / Low-value,2026-07-30 19:54:39
12547,135,1,175.78,1,Lost / Lapsed,2026-07-30 19:54:39
12549,210,6,1575.68,0,Champions,2026-07-30 19:54:39
12553,20,2,916.47,2,Occasional / Low-value,2026-07-30 19:54:39
12554,83,1,468.5,2,Occasional / Low-value,2026-07-30 19:54:39
12555,317,1,129.23,1,Lost / Lapsed,2026-07-30 19:54:39
12557,6,4,6725.18,0,Champions,2026-07-30 19:54:39
12562,20,2,1185.18,2,Occasional / Low-value,2026-07-30 19:54:39
12563,43,1,249.24,2,Occasional / Low-value,2026-07-30 19:54:39
12567,2,7,4308.58,0,Champions,2026-07-30 19:54:39
12568,279,1,70.0,1,Lost / Lapsed,2026-07-30 19:54:39
12570,317,1,77.52,1,Lost / Lapsed,2026-07-30 19:54:39
12573,16,4,556.87,2,Occasional / Low-value,2026-07-30 19:54:39
12575,92,2,622.82,2,Occasional / Low-value,2026-07-30 19:54:39
12576,27,3,826.89,2,Occasional / Low-value,2026-07-30 19:54:39
12577,16,5,995.95,0,Champions,2026-07-30 19:54:39
12578,20,2,1847.94,2,Occasional / Low-value,2026-07-30 19:54:39
12580,211,1,637.2,1,Lost / Lapsed,2026-07-30 19:54:39
12582,57,2,1469.04,2,Occasional / Low-value,2026-07-30 19:54:39
12583,8,13,7166.06,0,Champions,2026-07-30 19:54:39
12586,9,3,1865.73,0,Champions,2026-07-30 19:54:39
12588,34,3,743.88,2,Occasional / Low-value,2026-07-30 19:54:39
12589,56,6,4048.98,0,Champions,2026-07-30 19:54:39
12591,25,2,899.3,2,Occasional / Low-value,2026-07-30 19:54:39
12592,154,3,2145.06,2,Occasional / Low-value,2026-07-30 19:54:39
12594,13,5,1751.89,0,Champions,2026-07-30 19:54:39
12595,139,1,299.02,2,Occasional / Low-value,2026-07-30 19:54:39
12598,98,3,1511.01,2,Occasional / Low-value,2026-07-30 19:54:39
12599,16,6,1264.14,0,Champions,2026-07-30 19:54:39
12600,6,12,2444.88,0,Champions,2026-07-30 19:54:39
12601,39,1,104.2,2,Occasional / Low-value,2026-07-30 19:54:39
12605,11,4,1232.95,0,Champions,2026-07-30 19:54:39
12606,317,1,21.0,1,Lost / Lapsed,2026-07-30 19:54:39
12608,39,1,415.79,2,Occasional / Low-value,2026-07-30 19:54:39
12609,9,6,2309.01,0,Champions,2026-07-30 19:54:39
12613,23,5,3490.69,0,Champions,2026-07-30 19:54:39
12615,48,4,3449.79,0,Champions,2026-07-30 19:54:39
12616,23,1,417.8,2,Occasional / Low-value,2026-07-30 19:54:39
12619,195,1,140.14,1,Lost / Lapsed,2026-07-30 19:54:39
12621,0,16,11086.14,0,Champions,2026-07-30 19:54:39
12623,51,6,3442.74,0,Champions,2026-07-30 19:54:39
12625,144,2,2481.06,2,Occasional / Low-value,2026-07-30 19:54:39
12629,20,2,1558.22,2,Occasional / Low-value,2026-07-30 19:54:39
12631,91,5,2841.07,0,Champions,2026-07-30 19:54:39
12632,155,2,804.88,2,Occasional / Low-value,2026-07-30 19:54:39
12633,17,3,3514.18,0,Champions,2026-07-30 19:54:39
12634,170,2,490.0,1,Lost / Lapsed,2026-07-30 19:54:39
12635,27,2,1241.23,2,Occasional / Low-value,2026-07-30 19:54:39
12636,373,1,141.0,1,Lost / Lapsed,2026-07-30 19:54:39
12637,13,4,2318.41,0,Champions,2026-07-30 19:54:39
12638,274,1,249.8,1,Lost / Lapsed,2026-07-30 19:54:39
12639,69,2,826.27,2,Occasional / Low-value,2026-07-30 19:54:39
12643,20,6,5005.78,0,Champions,2026-07-30 19:54:39
12644,65,3,1440.58,2,Occasional / Low-value,2026-07-30 19:54:39
12645,44,4,1764.12,0,Champions,2026-07-30 19:54:39
12647,2,27,14201.53,0,Champions,2026-07-30 19:54:39
12648,72,3,793.95,2,Occasional / Low-value,2026-07-30 19:54:39
12649,17,5,1671.14,0,Champions,2026-07-30 19:54:39
12651,13,3,263.75,2,Occasional / Low-value,2026-07-30 19:54:39
12652,69,1,97.05,2,Occasional / Low-value,2026-07-30 19:54:39
12653,161,1,1950.98,2,Occasional / Low-value,2026-07-30 19:54:39
12655,58,1,261.35,2,Occasional / Low-value,2026-07-30 19:54:39
12656,60,3,2356.66,0,Champions,2026-07-30 19:54:39
12661,71,1,162.0,2,Occasional / Low-value,2026-07-30 19:54:39
12662,8,10,3138.24,0,Champions,2026-07-30 19:54:39
12663,259,2,239.4,1,Lost / Lapsed,2026-07-30 19:54:39
12664,149,2,1188.16,2,Occasional / Low-value,2026-07-30 19:54:39
12665,52,2,250.6,2,Occasional / Low-value,2026-07-30 19:54:39
12666,29,1,1248.42,2,Occasional / Low-value,2026-07-30 19:54:39
12668,13,6,7637.53,0,Champions,2026-07-30 19:54:39
12670,20,2,764.24,2,Occasional / Low-value,2026-07-30 19:54:39
12671,241,1,2622.48,1,Lost / Lapsed,2026-07-30 19:54:39
12672,230,1,211.15,1,Lost / Lapsed,2026-07-30 19:54:39
12673,36,1,619.5,2,Occasional / Low-value,2026-07-30 19:54:39
12675,188,2,958.5,1,Lost / Lapsed,2026-07-30 19:54:39
12676,43,5,1511.7,0,Champions,2026-07-30 19:54:39
12677,190,2,395.1,1,Lost / Lapsed,2026-07-30 19:54:39
12678,10,9,16652.72,0,Champions,2026-07-30 19:54:39
12681,2,24,17080.74,0,Champions,2026-07-30 19:54:39
12682,0,23,11745.69,0,Champions,2026-07-30 19:54:39
12683,0,8,4220.21,0,Champions,2026-07-30 19:54:39
12686,6,1,89.14,2,Occasional / Low-value,2026-07-30 19:54:39
12687,115,2,2138.91,2,Occasional / Low-value,2026-07-30 19:54:39
12691,55,1,134.6,2,Occasional / Low-value,2026-07-30 19:54:39
12692,272,1,110.95,1,Lost / Lapsed,2026-07-30 19:54:39
12693,31,3,847.11,2,Occasional / Low-value,2026-07-30 19:54:39
12694,56,1,973.68,2,Occasional / Low-value,2026-07-30 19:54:39
12695,163,3,825.02,2,Occasional / Low-value,2026-07-30 19:54:39
12696,69,2,851.91,2,Occasional / Low-value,2026-07-30 19:54:39
12698,225,1,339.75,1,Lost / Lapsed,2026-07-30 19:54:39
12699,52,1,638.11,2,Occasional / Low-value,2026-07-30 19:54:39
12701,164,4,1648.7,0,Champions,2026-07-30 19:54:39
12703,268,3,722.98,1,Lost / Lapsed,2026-07-30 19:54:39
12705,18,5,4893.81,0,Champions,2026-07-30 19:54:39
12708,3,9,2601.19,0,Champions,2026-07-30 19:54:39
12709,1,20,21356.82,0,Champions,2026-07-30 19:54:39
12711,246,2,1339.05,1,Lost / Lapsed,2026-07-30 19:54:39
12712,0,10,2797.53,0,Champions,2026-07-30 19:54:39
12714,23,7,9384.85,0,Champions,2026-07-30 19:54:39
12717,225,1,277.93,1,Lost / Lapsed,2026-07-30 19:54:39
12720,4,6,2478.94,0,Champions,2026-07-30 19:54:39
12721,20,2,1356.95,2,Occasional / Low-value,2026-07-30 19:54:39
12724,18,3,1286.11,2,Occasional / Low-value,2026-07-30 19:54:39
12725,6,4,2266.76,0,Champions,2026-07-30 19:54:39
12726,22,4,1405.5,0,Champions,2026-07-30 19:54:39
12727,77,3,1698.83,2,Occasional / Low-value,2026-07-30 19:54:39
12728,18,1,233.84,2,Occasional / Low-value,2026-07-30 19:54:39
12730,156,1,829.25,2,Occasional / Low-value,2026-07-30 19:54:39
12731,77,5,6879.8,0,Champions,2026-07-30 19:54:39
12733,24,3,2040.92,0,Champions,2026-07-30 19:54:39
12734,9,2,529.25,2,Occasional / Low-value,2026-07-30 19:54:39
12737,133,2,3710.5,2,Occasional / Low-value,2026-07-30 19:54:39
12738,7,1,155.35,2,Occasional / Low-value,2026-07-30 19:54:39
12739,20,2,1713.69,2,Occasional / Low-value,2026-07-30 19:54:39
12741,164,2,406.07,1,Lost / Lapsed,2026-07-30 19:54:39
12742,260,1,1201.52,1,Lost / Lapsed,2026-07-30 19:54:39
12744,94,4,4037.77,0,Champions,2026-07-30 19:54:39
12745,121,3,925.41,2,Occasional / Low-value,2026-07-30 19:54:39
12746,175,1,254.55,1,Lost / Lapsed,2026-07-30 19:54:39
12747,4,16,5080.53,0,Champions,2026-07-30 19:54:39
12748,0,144,22879.66,0,Champions,2026-07-30 19:54:39
12749,34,4,2806.48,0,Champions,2026-07-30 19:54:39
12751,79,1,268.27,2,Occasional / Low-value,2026-07-30 19:54:39
12755,0,10,5218.71,0,Champions,2026-07-30 19:54:39
12758,94,5,7111.65,0,Champions,2026-07-30 19:54:39
12759,21,5,3489.3,0,Champions,2026-07-30 19:54:39
12760,90,1,347.8,2,Occasional / Low-value,2026-07-30 19:54:39
12761,92,2,782.95,2,Occasional / Low-value,2026-07-30 19:54:39
12763,4,1,320.08,2,Occasional / Low-value,2026-07-30 19:54:39
12765,107,6,1404.58,0,Champions,2026-07-30 19:54:39
12766,1,3,3078.65,0,Champions,2026-07-30 19:54:39
12767,10,1,949.82,2,Occasional / Low-value,2026-07-30 19:54:39
12768,85,1,168.69,2,Occasional / Low-value,2026-07-30 19:54:39
12770,91,1,1895.0,2,Occasional / Low-value,2026-07-30 19:54:39
12771,120,1,282.3,2,Occasional / Low-value,2026-07-30 19:54:39
12773,199,1,124.25,1,Lost / Lapsed,2026-07-30 19:54:39
12774,170,1,98.7,1,Lost / Lapsed,2026-07-30 19:54:39
12775,23,2,300.08,2,Occasional / Low-value,2026-07-30 19:54:39
12776,302,1,55.5,1,Lost / Lapsed,2026-07-30 19:54:39
12777,92,1,519.45,2,Occasional / Low-value,2026-07-30 19:54:39
12778,31,3,953.45,2,Occasional / Low-value,2026-07-30 19:54:39
12779,6,7,2740.91,0,Champions,2026-07-30 19:54:39
12780,233,1,337.4,1,Lost / Lapsed,2026-07-30 19:54:39
12782,9,6,2287.32,0,Champions,2026-07-30 19:54:39
12784,164,1,1230.33,2,Occasional / Low-value,2026-07-30 19:54:39
12785,170,2,788.45,1,Lost / Lapsed,2026-07-30 19:54:39
12786,244,1,728.5,1,Lost / Lapsed,2026-07-30 19:54:39
12787,48,1,398.52,2,Occasional / Low-value,2026-07-30 19:54:39
12788,98,4,444.9,2,Occasional / Low-value,2026-07-30 19:54:39
12789,147,2,181.5,1,Lost / Lapsed,2026-07-30 19:54:39
12790,45,1,266.93,2,Occasional / Low-value,2026-07-30 19:54:39
12791,8,6,863.51,0,Champions,2026-07-30 19:54:39
12792,169,1,426.47,1,Lost / Lapsed,2026-07-30 19:54:39
12793,6,2,471.85,2,Occasional / Low-value,2026-07-30 19:54:39
12796,263,1,381.0,1,Lost / Lapsed,2026-07-30 19:54:39
12797,0,2,552.08,2,Occasional / Low-value,2026-07-30 19:54:39
12798,56,1,1533.89,2,Occasional / Low-value,2026-07-30 19:54:39
12799,164,1,219.35,1,Lost / Lapsed,2026-07-30 19:54:39
12800,105,3,584.25,2,Occasional / Low-value,2026-07-30 19:54:39
12801,135,1,1071.82,2,Occasional / Low-value,2026-07-30 19:54:39
12802,77,6,1988.84,0,Champions,2026-07-30 19:54:39
12803,28,1,1092.81,2,Occasional / Low-value,2026-07-30 19:54:39
12804,100,2,327.02,2,Occasional / Low-value,2026-07-30 19:54:39
12805,16,4,1434.95,0,Champions,2026-07-30 19:54:39
12806,70,4,2878.96,0,Champions,2026-07-30 19:54:39
12807,18,1,330.35,2,Occasional / Low-value,2026-07-30 19:54:39
12808,3,3,422.45,2,Occasional / Low-value,2026-07-30 19:54:39
12809,200,2,1266.63,1,Lost / Lapsed,2026-07-30 19:54:39
12810,169,2,534.99,1,Lost / Lapsed,2026-07-30 19:54:39
12811,13,2,519.05,2,Occasional / Low-value,2026-07-30 19:54:39
12813,136,3,1687.8,2,Occasional / Low-value,2026-07-30 19:54:39
12817,34,2,524.94,2,Occasional / Low-value,2026-07-30 19:54:39
12819,93,1,540.52,2,Occasional / Low-value,2026-07-30 19:54:39
12820,32,7,1747.18,0,Champions,2026-07-30 19:54:39
12821,246,1,128.08,1,Lost / Lapsed,2026-07-30 19:54:39
12823,29,13,4742.0,0,Champions,2026-07-30 19:54:39
12825,156,2,518.63,2,Occasional / Low-value,2026-07-30 19:54:39
12826,0,6,1481.03,0,Champions,2026-07-30 19:54:39
12829,185,1,92.3,1,Lost / Lapsed,2026-07-30 19:54:39
12831,98,2,236.06,2,Occasional / Low-value,2026-07-30 19:54:39
12835,62,41,6043.31,0,Champions,2026-07-30 19:54:39
12836,24,11,3972.76,0,Champions,2026-07-30 19:54:39
12837,204,1,554.31,1,Lost / Lapsed,2026-07-30 19:54:39
12838,8,9,2715.35,0,Champions,2026-07-30 19:54:39
12839,2,13,4480.31,0,Champions,2026-07-30 19:54:39
12840,72,3,1315.2,2,Occasional / Low-value,2026-07-30 19:54:39
12841,4,17,3518.33,0,Champions,2026-07-30 19:54:39
12842,39,2,799.0,2,Occasional / Low-value,2026-07-30 19:54:39
12843,17,22,4886.15,0,Champions,2026-07-30 19:54:39
12844,77,2,322.64,2,Occasional / Low-value,2026-07-30 19:54:39
12846,317,1,15.58,1,Lost / Lapsed,2026-07-30 19:54:39
12847,22,1,765.36,2,Occasional / Low-value,2026-07-30 19:54:39
12848,310,1,208.0,1,Lost / Lapsed,2026-07-30 19:54:39
12849,16,4,2039.67,0,Champions,2026-07-30 19:54:39
12850,80,1,330.0,2,Occasional / Low-value,2026-07-30 19:54:39
12851,112,1,148.95,2,Occasional / Low-value,2026-07-30 19:54:39
12853,62,5,1950.4,0,Champions,2026-07-30 19:54:39
12854,196,4,1669.52,1,Lost / Lapsed,2026-07-30 19:54:39
12855,7,4,612.84,2,Occasional / Low-value,2026-07-30 19:54:39
12857,71,4,2581.6,0,Champions,2026-07-30 19:54:39
12858,18,1,177.92,2,Occasional / Low-value,2026-07-30 19:54:39
12859,93,1,575.1,2,Occasional / Low-value,2026-07-30 19:54:39
12860,328,1,55.47,1,Lost / Lapsed,2026-07-30 19:54:39
12861,254,1,68.25,1,Lost / Lapsed,2026-07-30 19:54:39
12862,60,2,1008.32,2,Occasional / Low-value,2026-07-30 19:54:39
12863,14,5,2271.35,0,Champions,2026-07-30 19:54:39
12864,143,1,152.45,1,Lost / Lapsed,2026-07-30 19:54:39
12865,13,2,1755.24,2,Occasional / Low-value,2026-07-30 19:54:39
12866,109,2,668.23,2,Occasional / Low-value,2026-07-30 19:54:39
12867,32,6,3876.47,0,Champions,2026-07-30 19:54:39
12868,8,3,640.0,2,Occasional / Low-value,2026-07-30 19:54:39
12869,316,1,337.67,1,Lost / Lapsed,2026-07-30 19:54:39
12870,10,3,1676.95,2,Occasional / Low-value,2026-07-30 19:54:39
12871,74,1,363.38,2,Occasional / Low-value,2026-07-30 19:54:39
12872,0,11,3085.52,0,Champions,2026-07-30 19:54:39
12873,32,2,1653.3,2,Occasional / Low-value,2026-07-30 19:54:39
12874,20,2,948.42,2,Occasional / Low-value,2026-07-30 19:54:39
12875,106,3,1013.76,2,Occasional / Low-value,2026-07-30 19:54:39
12876,29,2,1863.77,2,Occasional / Low-value,2026-07-30 19:54:39
12877,36,8,1419.4,0,Champions,2026-07-30 19:54:39
12880,16,2,640.13,2,Occasional / Low-value,2026-07-30 19:54:39
12887,18,1,222.4,2,Occasional / Low-value,2026-07-30 19:54:39
12889,16,4,385.46,2,Occasional / Low-value,2026-07-30 19:54:39
12890,22,1,336.8,2,Occasional / Low-value,2026-07-30 19:54:39
12891,93,8,509.5,0,Champions,2026-07-30 19:54:39
12892,31,1,263.38,2,Occasional / Low-value,2026-07-30 19:54:39
12894,210,1,157.35,1,Lost / Lapsed,2026-07-30 19:54:39
12897,16,2,297.75,2,Occasional / Low-value,2026-07-30 19:54:39
12898,98,2,310.96,2,Occasional / Low-value,2026-07-30 19:54:39
12899,48,1,366.4,2,Occasional / Low-value,2026-07-30 19:54:39
12900,57,1,340.33,2,Occasional / Low-value,2026-07-30 19:54:39
12903,63,1,833.53,2,Occasional / Low-value,2026-07-30 19:54:39
12905,211,2,1018.42,1,Lost / Lapsed,2026-07-30 19:54:39
12907,30,2,508.91,2,Occasional / Low-value,2026-07-30 19:54:39
12908,15,3,1026.0,2,Occasional / Low-value,2026-07-30 19:54:39
12909,59,3,924.52,2,Occasional / Low-value,2026-07-30 19:54:39
12910,14,5,2721.48,0,Champions,2026-07-30 19:54:39
12911,186,1,1680.47,1,Lost / Lapsed,2026-07-30 19:54:39
12913,3,9,4217.23,0,Champions,2026-07-30 19:54:39
12914,35,1,223.98,2,Occasional / Low-value,2026-07-30 19:54:39
12915,7,3,811.1,2,Occasional / Low-value,2026-07-30 19:54:39
12916,77,3,1647.87,2,Occasional / Low-value,2026-07-30 19:54:39
12917,35,5,3765.2,0,Champions,2026-07-30 19:54:39
12918,261,1,10953.5,1,Lost / Lapsed,2026-07-30 19:54:39
12920,206,3,323.86,1,Lost / Lapsed,2026-07-30 19:54:39
12921,1,39,19333.95,0,Champions,2026-07-30 19:54:39
12923,25,2,612.9,2,Occasional / Low-value,2026-07-30 19:54:39
12924,28,8,1535.7,0,Champions,2026-07-30 19:54:39
12925,227,1,35.28,1,Lost / Lapsed,2026-07-30 19:54:39
12926,46,4,1548.46,0,Champions,2026-07-30 19:54:39
12927,29,1,197.31,2,Occasional / Low-value,2026-07-30 19:54:39
12928,13,7,2242.19,0,Champions,2026-07-30 19:54:39
12931,15,42,50291.38,0,Champions,2026-07-30 19:54:39
12932,174,8,1698.56,0,Champions,2026-07-30 19:54:39
12933,15,5,1079.5,0,Champions,2026-07-30 19:54:39
12934,371,1,181.65,1,Lost / Lapsed,2026-07-30 19:54:39
12935,10,8,2083.16,0,Champions,2026-07-30 19:54:39
12937,98,5,1593.34,0,Champions,2026-07-30 19:54:39
12939,14,12,13683.0,0,Champions,2026-07-30 19:54:39
12941,359,1,377.49,1,Lost / Lapsed,2026-07-30 19:54:39
12942,0,1,258.75,2,Occasional / Low-value,2026-07-30 19:54:39
12943,193,2,496.5,1,Lost / Lapsed,2026-07-30 19:54:39
12945,291,1,437.16,1,Lost / Lapsed,2026-07-30 19:54:39
12946,71,1,324.45,2,Occasional / Low-value,2026-07-30 19:54:39
12947,8,1,304.04,2,Occasional / Low-value,2026-07-30 19:54:39
12948,365,2,252.48,1,Lost / Lapsed,2026-07-30 19:54:39
12949,17,14,11359.48,0,Champions,2026-07-30 19:54:39
12951,21,9,2149.65,0,Champions,2026-07-30 19:54:39
12953,157,1,498.96,1,Lost / Lapsed,2026-07-30 19:54:39
12954,273,1,162.45,1,Lost / Lapsed,2026-07-30 19:54:39
12956,319,3,413.82,1,Lost / Lapsed,2026-07-30 19:54:39
12957,176,5,4689.43,0,Champions,2026-07-30 19:54:39
12958,35,2,539.49,2,Occasional / Low-value,2026-07-30 19:54:39
