transaction_id,invoice_no,customer_id,country,quantity,unit_price,total_value,invoice_date,anomaly_score,is_anomaly
519380,537659,18102,United Kingdom,72,32.69,2353.68,2010-12-07 16:43:00,0.071899,1
206460,509352,18102,United Kingdom,200,10.99,2198.0,2010-05-21 13:33:00,0.071878,1
103817,499297,18102,United Kingdom,336,1.0,336.0,2010-02-25 20:16:00,0.0718,1
358818,524181,17450,United Kingdom,684,5.15,3522.6,2010-09-27 16:59:00,0.071541,1
358829,524181,17450,United Kingdom,464,7.13,3308.32,2010-09-27 16:59:00,0.071534,1
474068,534036,13027,United Kingdom,1680,0.4,672.0,2010-11-19 15:51:00,0.070761,1
409132,528592,13316,United Kingdom,2880,0.17,489.6,2010-10-22 14:06:00,0.07031,1
409133,528592,13316,United Kingdom,2880,0.17,489.6,2010-10-22 14:06:00,0.07031,1
172950,505745,16684,United Kingdom,600,0.42,252.0,2010-04-26 07:17:00,0.070222,1
281359,516775,15061,United Kingdom,96,10.95,1051.2,2010-07-22 19:23:00,0.069712,1
358817,524181,17450,United Kingdom,704,4.56,3210.24,2010-09-27 16:59:00,0.06926,1
172953,505745,16684,United Kingdom,864,0.25,216.0,2010-04-26 07:17:00,0.069253,1
354922,523921,14646,Netherlands,576,0.72,414.72,2010-09-24 16:19:00,0.068858,1
358824,524181,17450,United Kingdom,648,5.96,3862.08,2010-09-27 16:59:00,0.068754,1
326848,521315,15838,United Kingdom,7128,0.19,1354.32,2010-09-03 12:01:00,0.068366,1
48275,493883,18102,United Kingdom,576,3.0,1728.0,2010-01-08 10:06:00,0.068278,1
48276,493883,18102,United Kingdom,600,3.0,1800.0,2010-01-08 10:06:00,0.068278,1
48279,493885,18102,United Kingdom,576,3.0,1728.0,2010-01-08 10:09:00,0.068278,1
48281,493885,18102,United Kingdom,600,3.0,1800.0,2010-01-08 10:09:00,0.068278,1
48282,493885,18102,United Kingdom,600,3.0,1800.0,2010-01-08 10:09:00,0.068278,1
138802,502692,17949,United Kingdom,156,10.95,1708.2,2010-03-26 11:13:00,0.068165,1
233545,511994,13848,United Kingdom,1000,0.32,320.0,2010-06-11 15:23:00,0.067064,1
65450,495235,14156,EIRE,1,1193.89,1193.89,2010-01-22 09:40:00,0.066944,1
214982,510204,16754,United Kingdom,160,2.55,408.0,2010-05-28 07:51:00,0.066817,1
326849,521315,15838,United Kingdom,3960,0.19,752.4,2010-09-03 12:01:00,0.066705,1
65316,495228,14646,Netherlands,384,1.45,556.8,2010-01-22 08:28:00,0.066686,1
103819,499297,18102,United Kingdom,216,2.0,432.0,2010-02-25 20:16:00,0.066648,1
333859,521982,17369,United Kingdom,1152,0.85,979.2,2010-09-10 09:49:00,0.06664,1
180472,506467,16754,United Kingdom,648,0.72,466.56,2010-04-30 09:06:00,0.066403,1
180485,506467,16754,United Kingdom,576,0.72,414.72,2010-04-30 09:06:00,0.066403,1
103824,499297,18102,United Kingdom,200,2.5,500.0,2010-02-25 20:16:00,0.066191,1
395081,527354,18102,United Kingdom,200,6.78,1356.0,2010-10-17 09:54:00,0.066065,1
381688,526155,17404,Sweden,768,0.65,499.2,2010-10-08 15:56:00,0.066052,1
380494,526084,16754,United Kingdom,2880,0.18,518.4,2010-10-08 12:03:00,0.065993,1
180473,506467,16754,United Kingdom,400,2.55,1020.0,2010-04-30 09:06:00,0.065946,1
180478,506467,16754,United Kingdom,400,2.55,1020.0,2010-04-30 09:06:00,0.065946,1
180479,506467,16754,United Kingdom,400,2.55,1020.0,2010-04-30 09:06:00,0.065946,1
103814,499297,18102,United Kingdom,288,1.0,288.0,2010-02-25 20:16:00,0.065721,1
103830,499297,18102,United Kingdom,288,1.0,288.0,2010-02-25 20:16:00,0.065721,1
206459,509352,18102,United Kingdom,200,8.62,1724.0,2010-05-21 13:33:00,0.06564,1
358765,524174,13687,United Kingdom,7128,0.08,570.24,2010-09-27 16:30:00,0.06561,1
351436,523576,13205,United Kingdom,256,10.95,2803.2,2010-09-22 16:26:00,0.065531,1
266853,515187,14156,EIRE,100,10.95,1095.0,2010-07-09 09:46:00,0.065388,1
519377,537659,18102,United Kingdom,600,6.38,3828.0,2010-12-07 16:43:00,0.065278,1
358756,524174,13687,United Kingdom,4992,0.1,499.2,2010-09-27 16:30:00,0.065136,1
358775,524174,13687,United Kingdom,5184,0.08,414.72,2010-09-27 16:30:00,0.065136,1
281500,516781,18102,United Kingdom,320,1.9,608.0,2010-07-23 08:24:00,0.06505,1
281510,516781,18102,United Kingdom,300,1.9,570.0,2010-07-23 08:24:00,0.06505,1
407878,528420,14911,EIRE,1,780.25,780.25,2010-10-22 09:45:00,0.065049,1
214981,510204,16754,United Kingdom,288,0.72,207.36,2010-05-28 07:51:00,0.065038,1
214994,510204,16754,United Kingdom,288,0.72,207.36,2010-05-28 07:51:00,0.065038,1
103831,499298,18102,United Kingdom,120,4.58,549.6,2010-02-25 20:18:00,0.064701,1
103833,499298,18102,United Kingdom,120,4.58,549.6,2010-02-25 20:18:00,0.064701,1
103834,499298,18102,United Kingdom,120,4.58,549.6,2010-02-25 20:18:00,0.064701,1
103835,499298,18102,United Kingdom,120,4.58,549.6,2010-02-25 20:18:00,0.064701,1
103836,499298,18102,United Kingdom,120,4.58,549.6,2010-02-25 20:18:00,0.064701,1
65319,495228,14646,Netherlands,288,1.45,417.6,2010-01-22 08:28:00,0.064555,1
420866,529628,16308,United Kingdom,3000,0.32,960.0,2010-10-29 12:09:00,0.064508,1
48280,493885,18102,United Kingdom,432,3.0,1296.0,2010-01-08 10:09:00,0.0645,1
343626,522934,17949,United Kingdom,720,2.1,1512.0,2010-09-17 15:10:00,0.064484,1
509546,536970,17949,United Kingdom,120,10.95,1314.0,2010-12-03 13:12:00,0.064469,1
358738,524174,13687,United Kingdom,4320,0.13,561.6,2010-09-27 16:30:00,0.064427,1
358764,524174,13687,United Kingdom,7008,0.13,911.04,2010-09-27 16:30:00,0.064427,1
358776,524174,13687,United Kingdom,4608,0.08,368.64,2010-09-27 16:30:00,0.064427,1
358836,524182,17450,United Kingdom,180,7.13,1283.4,2010-09-27 17:02:00,0.064355,1
442863,531544,17381,United Kingdom,1200,0.21,252.0,2010-11-09 07:56:00,0.064323,1
442871,531544,17381,United Kingdom,1000,0.25,250.0,2010-11-09 07:56:00,0.064323,1
358830,524181,17450,United Kingdom,520,3.4,1768.0,2010-09-27 16:59:00,0.06428,1
358825,524181,17450,United Kingdom,704,3.17,2231.68,2010-09-27 16:59:00,0.063981,1
358828,524181,17450,United Kingdom,704,3.17,2231.68,2010-09-27 16:59:00,0.063981,1
358737,524174,13687,United Kingdom,2976,0.13,386.88,2010-09-27 16:30:00,0.063954,1
358758,524174,13687,United Kingdom,3648,0.13,474.24,2010-09-27 16:30:00,0.063954,1
435740,530981,17876,United Kingdom,500,2.55,1275.0,2010-11-05 10:52:00,0.063937,1
83391,497157,18102,United Kingdom,190,6.35,1206.5,2010-02-05 16:25:00,0.063606,1
358766,524174,13687,United Kingdom,3072,0.17,522.24,2010-09-27 16:30:00,0.063246,1
180483,506467,16754,United Kingdom,576,0.53,305.28,2010-04-30 09:06:00,0.063156,1
421090,529719,13848,United Kingdom,1000,0.32,320.0,2010-10-29 13:48:00,0.06283,1
180475,506467,16754,United Kingdom,576,0.64,368.64,2010-04-30 09:06:00,0.062693,1
180476,506467,16754,United Kingdom,576,0.64,368.64,2010-04-30 09:06:00,0.062693,1
180481,506467,16754,United Kingdom,576,0.64,368.64,2010-04-30 09:06:00,0.062693,1
180482,506467,16754,United Kingdom,576,0.64,368.64,2010-04-30 09:06:00,0.062693,1
130663,501830,12908,United Kingdom,600,0.53,318.0,2010-03-19 15:59:00,0.06264,1
281507,516781,18102,United Kingdom,235,2.8,658.0,2010-07-23 08:24:00,0.062496,1
366184,524909,17389,United Kingdom,114,10.95,1248.3,2010-10-01 11:34:00,0.062387,1
435348,530963,15389,United Kingdom,400,1.25,500.0,2010-11-04 19:23:00,0.062384,1
161323,504846,15061,United Kingdom,64,10.95,700.8,2010-04-16 16:21:00,0.062335,1
354924,523921,14646,Netherlands,432,1.06,457.92,2010-09-24 16:19:00,0.062314,1
358739,524174,13687,United Kingdom,4752,0.07,332.64,2010-09-27 16:30:00,0.062303,1
358760,524174,13687,United Kingdom,1536,0.25,384.0,2010-09-27 16:30:00,0.062303,1
358762,524174,13687,United Kingdom,1632,0.25,408.0,2010-09-27 16:30:00,0.062303,1
442860,531544,17381,United Kingdom,400,1.06,424.0,2010-11-09 07:56:00,0.062213,1
442861,531544,17381,United Kingdom,400,1.06,424.0,2010-11-09 07:56:00,0.062213,1
172952,505745,16684,United Kingdom,288,1.45,417.6,2010-04-26 07:17:00,0.062003,1
266857,515187,14156,EIRE,432,1.06,457.92,2010-07-09 09:46:00,0.061817,1
420630,529614,17949,United Kingdom,1512,0.72,1088.64,2010-10-29 10:49:00,0.061783,1
266855,515187,14156,EIRE,500,1.85,925.0,2010-07-09 09:46:00,0.061693,1
266856,515187,14156,EIRE,500,1.85,925.0,2010-07-09 09:46:00,0.061693,1
519379,537659,18102,United Kingdom,600,4.78,2868.0,2010-12-07 16:43:00,0.061672,1
281503,516781,18102,United Kingdom,208,3.18,661.44,2010-07-23 08:24:00,0.061626,1
34101,492237,18102,United Kingdom,150,4.0,600.0,2009-12-15 19:11:00,0.061593,1
266839,515187,14156,EIRE,264,3.75,990.0,2010-07-09 09:46:00,0.061583,1
266840,515187,14156,EIRE,264,3.75,990.0,2010-07-09 09:46:00,0.061583,1
155961,504166,16029,United Kingdom,300,1.65,495.0,2010-04-12 07:14:00,0.061171,1
172941,505744,15769,United Kingdom,300,1.65,495.0,2010-04-26 07:15:00,0.061171,1
172942,505744,15769,United Kingdom,300,1.65,495.0,2010-04-26 07:15:00,0.061171,1
358757,524174,13687,United Kingdom,2496,0.13,324.48,2010-09-27 16:30:00,0.061126,1
180474,506467,16754,United Kingdom,432,1.45,626.4,2010-04-30 09:06:00,0.061051,1
180480,506467,16754,United Kingdom,432,1.45,626.4,2010-04-30 09:06:00,0.061051,1
437058,531202,17389,United Kingdom,120,8.5,1020.0,2010-11-05 15:21:00,0.061027,1
172948,505745,16684,United Kingdom,270,1.69,456.3,2010-04-26 07:17:00,0.060968,1
358833,524182,17450,United Kingdom,360,3.17,1141.2,2010-09-27 17:02:00,0.060928,1
305005,519184,13316,United Kingdom,1440,0.17,244.8,2010-08-13 15:07:00,0.060808,1
305009,519184,13316,United Kingdom,1440,0.17,244.8,2010-08-13 15:07:00,0.060808,1
25004,491456,18102,United Kingdom,576,3.0,1728.0,2009-12-11 11:22:00,0.060757,1
25005,491456,18102,United Kingdom,576,3.0,1728.0,2009-12-11 11:22:00,0.060757,1
25006,491456,18102,United Kingdom,576,3.0,1728.0,2009-12-11 11:22:00,0.060757,1
25007,491456,18102,United Kingdom,600,3.0,1800.0,2009-12-11 11:22:00,0.060757,1
25008,491456,18102,United Kingdom,600,3.0,1800.0,2009-12-11 11:22:00,0.060757,1
25009,491456,18102,United Kingdom,600,3.0,1800.0,2009-12-11 11:22:00,0.060757,1
381678,526155,17404,Sweden,240,4.95,1188.0,2010-10-08 15:56:00,0.060744,1
112929,500175,14156,EIRE,1440,0.16,230.4,2010-03-05 10:20:00,0.060631,1
366050,524877,13069,United Kingdom,1440,0.17,244.8,2010-10-01 10:33:00,0.060631,1
455819,532648,14609,United Kingdom,2400,0.11,264.0,2010-11-14 10:14:00,0.060512,1
358819,524181,17450,United Kingdom,408,4.14,1689.12,2010-09-27 16:59:00,0.060276,1
355103,523929,14646,Netherlands,432,1.25,540.0,2010-09-24 16:50:00,0.060255,1
180252,506454,16422,United Kingdom,720,0.16,115.2,2010-04-29 19:05:00,0.06025,1
289683,517568,12989,United Kingdom,288,1.25,360.0,2010-07-30 08:56:00,0.060175,1
420631,529615,17949,United Kingdom,888,0.72,639.36,2010-10-29 10:51:00,0.060136,1
358834,524182,17450,United Kingdom,180,6.54,1177.2,2010-09-27 17:02:00,0.060091,1
336243,522124,17308,United Kingdom,1056,0.36,380.16,2010-09-13 09:35:00,0.060081,1
336244,522124,17308,United Kingdom,1056,0.36,380.16,2010-09-13 09:35:00,0.060081,1
408814,528579,12931,United Kingdom,1240,1.45,1798.0,2010-10-22 13:18:00,0.060023,1
71083,495802,12748,United Kingdom,1,387.54,387.54,2010-01-26 17:28:00,0.05995,1
122100,501049,14646,Netherlands,576,0.72,414.72,2010-03-12 10:41:00,0.059901,1
160695,504715,17404,Sweden,768,0.65,499.2,2010-04-16 10:27:00,0.059901,1
445811,531840,13777,United Kingdom,312,3.39,1057.68,2010-11-10 08:59:00,0.059849,1
281378,516775,15061,United Kingdom,288,1.69,486.72,2010-07-22 19:23:00,0.059826,1
507884,536830,16754,United Kingdom,2880,0.18,518.4,2010-12-02 17:38:00,0.059777,1
519368,537657,18102,United Kingdom,408,6.38,2603.04,2010-12-07 16:42:00,0.059742,1
65298,495228,14646,Netherlands,288,1.06,305.28,2010-01-22 08:28:00,0.059692,1
65308,495228,14646,Netherlands,288,1.06,305.28,2010-01-22 08:28:00,0.059692,1
354941,523921,14646,Netherlands,384,1.45,556.8,2010-09-24 16:19:00,0.059655,1
96118,498440,18102,United Kingdom,200,4.58,916.0,2010-02-19 09:37:00,0.059639,1
96119,498440,18102,United Kingdom,200,4.58,916.0,2010-02-19 09:37:00,0.059639,1
96120,498440,18102,United Kingdom,200,4.58,916.0,2010-02-19 09:37:00,0.059639,1
96121,498440,18102,United Kingdom,200,4.58,916.0,2010-02-19 09:37:00,0.059639,1
96122,498440,18102,United Kingdom,200,4.58,916.0,2010-02-19 09:37:00,0.059639,1
96123,498440,18102,United Kingdom,200,4.58,916.0,2010-02-19 09:37:00,0.059639,1
96124,498440,18102,United Kingdom,200,4.58,916.0,2010-02-19 09:37:00,0.059639,1
267329,515280,12621,Germany,600,0.65,390.0,2010-07-09 13:45:00,0.059472,1
266835,515187,14156,EIRE,192,4.25,816.0,2010-07-09 09:46:00,0.05941,1
266836,515187,14156,EIRE,192,4.25,816.0,2010-07-09 09:46:00,0.05941,1
390758,526934,18102,United Kingdom,100,16.86,1686.0,2010-10-14 09:46:00,0.059371,1
103832,499298,18102,United Kingdom,100,4.58,458.0,2010-02-25 20:18:00,0.059235,1
103837,499298,18102,United Kingdom,100,4.58,458.0,2010-02-25 20:18:00,0.059235,1
103838,499298,18102,United Kingdom,100,4.58,458.0,2010-02-25 20:18:00,0.059235,1
122090,501049,14646,Netherlands,720,1.45,1044.0,2010-03-12 10:41:00,0.059075,1
437076,531204,17389,United Kingdom,66,10.95,722.7,2010-11-05 15:25:00,0.058926,1
155952,504165,16754,United Kingdom,125,4.65,581.25,2010-04-12 07:07:00,0.058848,1
155953,504165,16754,United Kingdom,125,4.65,581.25,2010-04-12 07:07:00,0.058848,1
358736,524174,13687,United Kingdom,3936,0.42,1653.12,2010-09-27 16:30:00,0.05883,1
82423,496959,17949,United Kingdom,300,1.06,318.0,2010-02-04 19:24:00,0.058813,1
82466,496962,17949,United Kingdom,300,1.06,318.0,2010-02-04 19:42:00,0.058813,1
188148,507246,16754,United Kingdom,816,1.85,1509.6,2010-05-07 10:46:00,0.058778,1
351494,523582,17949,United Kingdom,144,10.95,1576.8,2010-09-22 16:46:00,0.058769,1
281508,516781,18102,United Kingdom,204,2.54,518.16,2010-07-23 08:24:00,0.058735,1
266854,515187,14156,EIRE,500,1.65,825.0,2010-07-09 09:46:00,0.058717,1
214989,510204,16754,United Kingdom,192,1.45,278.4,2010-05-28 07:51:00,0.058653,1
188144,507244,17949,United Kingdom,96,10.95,1051.2,2010-05-07 10:41:00,0.058648,1
358741,524174,13687,United Kingdom,1440,0.31,446.4,2010-09-27 16:30:00,0.058645,1
390762,526934,18102,United Kingdom,408,6.78,2766.24,2010-10-14 09:46:00,0.058571,1
197617,508378,17414,United Kingdom,1440,0.16,230.4,2010-05-14 13:51:00,0.058446,1
513144,537235,17381,United Kingdom,156,8.5,1326.0,2010-12-06 09:45:00,0.058416,1
305505,519201,13027,United Kingdom,1200,0.4,480.0,2010-08-15 10:33:00,0.058388,1
305507,519201,13027,United Kingdom,960,0.4,384.0,2010-08-15 10:33:00,0.058388,1
305508,519201,13027,United Kingdom,960,0.4,384.0,2010-08-15 10:33:00,0.058388,1
445808,531839,13777,United Kingdom,384,2.95,1132.8,2010-11-10 08:58:00,0.058279,1
380496,526084,16754,United Kingdom,816,2.55,2080.8,2010-10-08 12:03:00,0.05827,1
22192,491148,15061,United Kingdom,320,1.69,540.8,2009-12-10 07:43:00,0.058239,1
287790,517391,17949,United Kingdom,228,10.95,2496.6,2010-07-29 09:19:00,0.058128,1
266849,515187,14156,EIRE,384,1.25,480.0,2010-07-09 09:46:00,0.058074,1
24816,491440,16029,United Kingdom,1080,1.25,1350.0,2009-12-11 10:31:00,0.057978,1
372038,525286,15061,United Kingdom,288,3.39,976.32,2010-10-05 08:34:00,0.05795,1
65286,495228,14646,Netherlands,360,0.64,230.4,2010-01-22 08:28:00,0.057912,1
381673,526155,17404,Sweden,384,1.45,556.8,2010-10-08 15:56:00,0.057788,1
358755,524174,13687,United Kingdom,2952,0.1,295.2,2010-09-27 16:30:00,0.057645,1
390771,526934,18102,United Kingdom,408,6.38,2603.04,2010-10-14 09:46:00,0.057635,1
266837,515187,14156,EIRE,336,1.45,487.2,2010-07-09 09:46:00,0.057531,1
266838,515187,14156,EIRE,336,1.45,487.2,2010-07-09 09:46:00,0.057531,1
358761,524174,13687,United Kingdom,1248,0.25,312.0,2010-09-27 16:30:00,0.057481,1
379876,525968,15838,United Kingdom,3120,1.66,5179.2,2010-10-08 10:10:00,0.057449,1
172967,505747,16684,United Kingdom,200,2.55,510.0,2010-04-26 07:20:00,0.057437,1
251633,513647,14646,Netherlands,320,2.55,816.0,2010-06-28 08:28:00,0.057437,1
330925,521689,14646,Netherlands,432,3.75,1620.0,2010-09-07 17:03:00,0.057381,1
523467,538063,18102,United Kingdom,96,19.94,1914.24,2010-12-09 13:44:00,0.057299,1
172947,505745,16684,United Kingdom,252,2.1,529.2,2010-04-26 07:17:00,0.057051,1
358835,524182,17450,United Kingdom,180,5.15,927.0,2010-09-27 17:02:00,0.056857,1
436522,531069,17949,United Kingdom,1008,0.42,423.36,2010-11-05 12:10:00,0.056771,1
232016,511853,14298,United Kingdom,400,0.32,128.0,2010-06-11 08:08:00,0.056743,1
328322,521399,14609,United Kingdom,1440,0.16,230.4,2010-09-06 09:32:00,0.05673,1
454496,532582,15061,United Kingdom,800,1.65,1320.0,2010-11-12 14:24:00,0.05665,1
195714,508095,12931,United Kingdom,500,1.06,530.0,2010-05-13 08:57:00,0.056629,1
195729,508096,12931,United Kingdom,500,1.06,530.0,2010-05-13 08:59:00,0.056629,1
170582,505559,17949,United Kingdom,516,1.06,546.96,2010-04-23 10:18:00,0.05656,1
180590,506487,12806,Netherlands,504,1.06,534.24,2010-04-30 10:44:00,0.05656,1
366016,524874,12931,United Kingdom,500,1.06,530.0,2010-10-01 10:28:00,0.05656,1
435739,530981,17876,United Kingdom,500,1.06,530.0,2010-11-05 10:52:00,0.05656,1
358754,524174,13687,United Kingdom,2112,0.13,274.56,2010-09-27 16:30:00,0.056476,1
472119,533862,15838,United Kingdom,960,0.38,364.8,2010-11-19 11:32:00,0.056375,1
358747,524174,13687,United Kingdom,1116,0.33,368.28,2010-09-27 16:30:00,0.056305,1
74347,496097,17949,United Kingdom,500,0.72,360.0,2010-01-29 10:30:00,0.056225,1
65283,495228,14646,Netherlands,288,0.79,227.52,2010-01-22 08:28:00,0.056041,1
454495,532582,15061,United Kingdom,504,1.06,534.24,2010-11-12 14:24:00,0.055903,1
65307,495228,14646,Netherlands,288,0.72,207.36,2010-01-22 08:28:00,0.055808,1
65321,495228,14646,Netherlands,288,0.72,207.36,2010-01-22 08:28:00,0.055808,1
83390,497157,18102,United Kingdom,200,4.0,800.0,2010-02-05 16:25:00,0.055791,1
83392,497157,18102,United Kingdom,200,4.0,800.0,2010-02-05 16:25:00,0.055791,1
83393,497157,18102,United Kingdom,200,4.0,800.0,2010-02-05 16:25:00,0.055791,1
83394,497157,18102,United Kingdom,200,4.0,800.0,2010-02-05 16:25:00,0.055791,1
83395,497157,18102,United Kingdom,200,4.0,800.0,2010-02-05 16:25:00,0.055791,1
413998,528951,17450,United Kingdom,360,3.24,1166.4,2010-10-25 16:43:00,0.055691,1
251665,513647,14646,Netherlands,300,2.1,630.0,2010-06-28 08:28:00,0.055648,1
455783,532643,13090,United Kingdom,72,8.5,612.0,2010-11-12 17:01:00,0.055624,1
509304,536890,14156,EIRE,1440,0.16,230.4,2010-12-03 11:48:00,0.055554,1
48319,493897,14911,EIRE,1,780.52,780.52,2010-01-08 10:39:00,0.055553,1
48349,493900,14911,EIRE,1,780.52,780.52,2010-01-08 10:44:00,0.055553,1
103825,499297,18102,United Kingdom,120,2.8,336.0,2010-02-25 20:16:00,0.055536,1
336180,522119,12989,United Kingdom,360,1.25,450.0,2010-09-13 08:37:00,0.05552,1
442689,531515,18102,United Kingdom,34,32.69,1111.46,2010-11-08 16:44:00,0.055475,1
358763,524174,13687,United Kingdom,1200,0.25,300.0,2010-09-27 16:30:00,0.055309,1
355083,523929,14646,Netherlands,160,4.25,680.0,2010-09-24 16:50:00,0.055306,1
260642,514517,13089,United Kingdom,48,10.95,525.6,2010-07-04 15:36:00,0.055283,1
507444,536785,15061,United Kingdom,144,10.95,1576.8,2010-12-02 15:22:00,0.055248,1
49398,493994,14091,United Kingdom,300,4.95,1485.0,2010-01-10 13:41:00,0.055237,1
49399,493994,14091,United Kingdom,300,4.95,1485.0,2010-01-10 13:41:00,0.055237,1
112900,500173,18102,United Kingdom,480,1.4,672.0,2010-03-05 10:13:00,0.055196,1
135028,502269,17940,United Kingdom,10000,0.25,2500.0,2010-03-23 15:36:00,0.055182,1
135029,502269,17940,United Kingdom,10000,0.25,2500.0,2010-03-23 15:36:00,0.055182,1
135030,502269,17940,United Kingdom,10000,0.25,2500.0,2010-03-23 15:36:00,0.055182,1
135031,502269,17940,United Kingdom,10000,0.25,2500.0,2010-03-23 15:36:00,0.055182,1
53240,494244,18102,United Kingdom,160,8.0,1280.0,2010-01-12 16:02:00,0.055121,1
519364,537657,18102,United Kingdom,408,4.78,1950.24,2010-12-07 16:42:00,0.055066,1
358823,524181,17450,United Kingdom,760,1.43,1086.8,2010-09-27 16:59:00,0.054969,1
358826,524181,17450,United Kingdom,760,1.43,1086.8,2010-09-27 16:59:00,0.054969,1
358827,524181,17450,United Kingdom,760,1.43,1086.8,2010-09-27 16:59:00,0.054969,1
285384,517116,18172,United Kingdom,1,295.0,295.0,2010-07-27 08:09:00,0.054856,1
326883,521318,16754,United Kingdom,1440,0.18,259.2,2010-09-03 12:06:00,0.054844,1
355091,523929,14646,Netherlands,300,1.85,555.0,2010-09-24 16:50:00,0.054819,1
355092,523929,14646,Netherlands,300,1.85,555.0,2010-09-24 16:50:00,0.054819,1
355111,523929,14646,Netherlands,300,1.85,555.0,2010-09-24 16:50:00,0.054819,1
355112,523929,14646,Netherlands,300,1.85,555.0,2010-09-24 16:50:00,0.054819,1
219253,510678,15812,United Kingdom,432,1.06,457.92,2010-06-03 08:49:00,0.054762,1
219254,510678,15812,United Kingdom,432,1.06,457.92,2010-06-03 08:49:00,0.054762,1
355099,523929,14646,Netherlands,320,2.55,816.0,2010-09-24 16:50:00,0.054749,1
227182,511316,17133,United Kingdom,720,0.55,396.0,2010-06-07 16:52:00,0.05474,1
103820,499297,18102,United Kingdom,144,2.0,288.0,2010-02-25 20:16:00,0.054708,1
103821,499297,18102,United Kingdom,144,2.0,288.0,2010-02-25 20:16:00,0.054708,1
103822,499297,18102,United Kingdom,144,2.0,288.0,2010-02-25 20:16:00,0.054708,1
103823,499297,18102,United Kingdom,144,2.0,288.0,2010-02-25 20:16:00,0.054708,1
112890,500173,18102,United Kingdom,480,1.49,715.2,2010-03-05 10:13:00,0.054661,1
112891,500173,18102,United Kingdom,480,1.49,715.2,2010-03-05 10:13:00,0.054661,1
197424,508333,13694,United Kingdom,1200,0.72,864.0,2010-05-14 12:00:00,0.054654,1
380492,526084,16754,United Kingdom,1224,0.72,881.28,2010-10-08 12:03:00,0.054654,1
224836,511109,16684,United Kingdom,600,0.65,390.0,2010-06-07 09:55:00,0.054575,1
336282,522132,18251,United Kingdom,600,0.65,390.0,2010-09-13 09:57:00,0.054575,1
289681,517567,16210,United Kingdom,120,3.39,406.8,2010-07-30 08:54:00,0.054524,1
24721,491431,15769,United Kingdom,400,1.65,660.0,2009-12-11 09:58:00,0.05451,1
266847,515187,14156,EIRE,144,3.39,488.16,2010-07-09 09:46:00,0.054494,1
336283,522132,18251,United Kingdom,720,0.42,302.4,2010-09-13 09:57:00,0.054419,1
390759,526934,18102,United Kingdom,408,4.78,1950.24,2010-10-14 09:46:00,0.054392,1
34094,492236,18102,United Kingdom,120,4.0,480.0,2009-12-15 19:09:00,0.054349,1
34096,492236,18102,United Kingdom,120,4.0,480.0,2009-12-15 19:09:00,0.054349,1
34097,492236,18102,United Kingdom,120,4.0,480.0,2009-12-15 19:09:00,0.054349,1
34098,492236,18102,United Kingdom,120,4.0,480.0,2009-12-15 19:09:00,0.054349,1
34099,492237,18102,United Kingdom,120,4.0,480.0,2009-12-15 19:11:00,0.054349,1
