invoice_date,order_count,revenue
2010-06-02,48,15962.02
2010-06-03,103,28615.26
2010-06-04,54,20266.51
2010-06-06,76,25366.58
2010-06-07,114,44910.95
2010-06-08,90,50692.08
2010-06-09,87,37422.34
2010-06-10,95,15495.33
2010-06-11,83,32638.12
2010-06-13,78,21444.84
2010-06-14,72,22947.63
2010-06-15,65,29698.62
2010-06-16,91,30882.07
2010-06-17,88,23691.0
2010-06-18,56,18288.89
2010-06-20,27,9028.68
2010-06-21,45,21080.88
2010-06-22,45,14236.35
2010-06-23,69,27576.82
2010-06-24,107,22310.03
2010-06-25,47,17704.17
2010-06-27,62,17571.82
2010-06-28,78,44810.07
2010-06-29,77,33940.56
2010-06-30,131,31230.33
2010-07-01,94,29620.17
2010-07-02,52,16412.79
2010-07-04,22,10485.71
2010-07-05,109,32006.79
2010-07-06,63,22927.32
2010-07-07,85,30605.44
2010-07-08,79,19045.31
2010-07-09,43,33421.81
2010-07-11,29,7853.53
2010-07-12,56,19168.61
2010-07-13,61,20209.45
2010-07-14,104,22101.83
2010-07-15,82,56286.31
2010-07-16,101,20254.39
2010-07-18,42,14812.42
2010-07-19,64,30082.52
2010-07-20,61,24199.1
2010-07-21,81,21140.75
2010-07-22,91,25084.49
2010-07-23,54,24570.07
2010-07-25,58,17011.71
2010-07-26,74,22041.06
2010-07-27,82,26530.42
2010-07-28,83,22931.32
2010-07-29,92,33260.22
2010-07-30,67,15375.95
2010-08-01,36,30314.25
2010-08-02,68,26928.29
2010-08-03,78,24424.01
2010-08-04,62,19897.1
2010-08-05,64,23485.76
2010-08-06,56,13532.32
2010-08-08,47,14072.78
2010-08-09,61,31026.7
2010-08-10,54,33832.53
2010-08-11,50,20296.15
2010-08-12,113,27686.74
2010-08-13,65,35918.37
2010-08-15,61,21923.59
2010-08-16,49,20100.69
2010-08-17,64,29785.89
2010-08-18,59,36877.36
2010-08-19,84,31891.58
2010-08-20,65,24721.02
2010-08-22,64,22622.21
2010-08-23,60,21488.77
2010-08-24,73,25279.04
2010-08-25,90,30517.83
2010-08-26,88,33956.84
2010-08-27,36,14742.5
2010-08-29,40,14481.08
2010-08-31,68,32917.44
2010-09-01,81,21960.32
2010-09-02,92,34091.87
2010-09-03,74,36564.53
2010-09-05,36,12264.8
2010-09-06,61,27814.56
2010-09-07,55,27169.25
2010-09-08,50,17087.97
2010-09-09,82,24148.21
2010-09-10,49,16297.09
2010-09-12,49,15746.09
2010-09-13,104,37159.85
2010-09-14,65,20626.07
2010-09-15,73,34133.72
2010-09-16,91,26110.59
2010-09-17,76,20004.24
2010-09-19,60,23066.19
2010-09-20,85,40916.47
2010-09-21,136,61560.94
2010-09-22,84,28768.81
2010-09-23,88,35886.94
2010-09-24,63,48168.0
2010-09-26,76,21355.57
2010-09-27,91,97379.98
2010-09-28,171,32901.01
2010-09-29,111,37184.13
2010-09-30,111,45359.3
2010-10-01,84,36310.64
2010-10-03,89,38437.45
2010-10-04,95,38156.03
2010-10-05,160,53308.12
2010-10-06,67,30390.49
2010-10-07,142,51450.68
2010-10-08,95,58592.42
2010-10-10,71,22925.33
2010-10-11,109,42426.73
2010-10-12,142,48521.25
2010-10-13,95,52625.06
2010-10-14,114,85581.35
2010-10-15,113,43554.7
2010-10-17,80,32985.9
2010-10-18,139,38781.73
2010-10-19,89,44375.34
2010-10-20,117,44032.56
2010-10-21,115,38182.64
2010-10-22,120,38000.48
2010-10-24,86,28640.9
2010-10-25,92,28682.22
2010-10-26,127,44723.53
2010-10-27,74,32069.47
2010-10-28,78,22282.97
2010-10-29,87,44932.79
2010-10-31,88,30226.27
2010-11-01,69,26278.29
2010-11-02,123,40823.6
2010-11-03,106,43618.24
2010-11-04,173,88004.68
2010-11-05,93,45319.78
2010-11-07,90,31659.01
2010-11-08,96,82873.69
2010-11-09,141,58911.13
2010-11-10,150,78936.86
2010-11-11,181,60407.47
2010-11-12,117,48851.63
2010-11-14,94,29305.48
2010-11-15,114,103408.94
2010-11-16,147,69716.66
2010-11-17,132,50296.66
2010-11-18,119,43581.11
2010-11-19,143,45208.94
2010-11-21,102,32018.17
2010-11-22,101,41575.18
2010-11-23,149,52629.23
2010-11-24,185,56715.61
2010-11-25,176,70906.26
2010-11-26,91,38822.76
2010-11-28,104,26850.48
2010-11-29,114,77044.38
2010-11-30,167,55119.92
2010-12-01,133,57301.1
2010-12-02,164,46174.28
2010-12-03,75,43510.73
2010-12-05,95,30927.99
2010-12-06,120,50907.56
2010-12-07,91,80785.07
2010-12-08,139,43108.46
2010-12-09,140,48978.46
